#,assignment_id,request_id,employee_id,assigned_at
1,1,1,225,2023-10-15 10:00:00
2,2,2,234,2023-09-22 11:30:00
3,3,3,249,2024-03-01 16:00:00
4,4,4,228,2024-01-09 08:45:00
5,5,5,266,2024-04-05 17:00:00
6,6,6,231,2023-12-03 10:30:00
7,7,7,240,2023-10-27 12:30:00
8,8,8,255,2024-02-05 18:00:00
9,9,9,267,2023-11-01 14:20:00
10,10,10,223,2023-09-19 08:10:00
11,11,11,248,2024-01-22 12:00:00
12,12,12,257,2023-08-30 16:45:00
13,13,13,272,2024-04-14 09:30:00
14,14,14,261,2023-10-12 10:30:00
15,15,15,230,2023-12-25 19:00:00
16,16,16,274,2023-11-06 14:00:00
17,17,17,263,2024-03-19 07:45:00
18,18,18,250,2024-01-13 14:40:00
19,19,19,279,2024-02-18 16:30:00
20,20,20,245,2024-03-27 20:00:00
21,21,21,226,2023-07-10 15:30:00
22,22,22,259,2023-10-03 12:10:00
23,23,23,273,2023-11-25 10:40:00
24,24,24,244,2024-03-05 13:20:00
25,25,25,265,2023-09-01 09:45:00
26,26,26,233,2023-12-07 14:30:00
27,27,27,243,2023-10-11 18:00:00
28,28,28,280,2024-01-08 11:50:00
29,29,29,253,2023-10-20 08:20:00
30,30,30,260,2024-04-01 12:30:00
31,31,31,226,2024-04-10 20:15:00
32,32,32,238,2024-03-03 14:45:00
33,33,33,241,2024-02-18 11:00:00
34,34,34,275,2023-11-29 07:15:00
35,35,35,289,2023-12-13 09:30:00
36,36,36,266,2024-01-15 12:15:00
37,37,37,248,2024-03-10 16:45:00
38,38,38,228,2024-02-22 18:30:00
39,39,39,232,2024-04-02 10:25:00
40,40,40,300,2024-01-27 15:30:00
41,41,41,301,2023-12-02 09:00:00
42,42,42,305,2023-11-17 11:45:00
43,43,43,247,2024-01-11 13:45:00
44,44,44,270,2024-02-25 09:30:00
45,45,45,223,2024-01-09 17:15:00
46,46,46,302,2024-04-08 10:15:00
47,47,47,263,2023-10-21 08:30:00
48,48,48,268,2023-09-03 12:30:00
49,49,49,310,2024-02-13 11:40:00
50,50,50,277,2023-11-04 15:00:00
51,51,51,298,2024-01-03 10:45:00
52,52,52,245,2024-03-07 13:30:00
53,53,53,237,2023-10-09 17:00:00
54,54,54,253,2024-01-14 18:15:00
55,55,55,243,2023-12-05 10:30:00
56,56,56,264,2023-11-15 15:20:00
57,57,57,292,2024-01-05 08:00:00
58,58,58,276,2023-10-01 11:30:00
59,59,59,229,2024-03-29 17:20:00
60,60,60,287,2023-12-22 11:00:00
61,61,61,255,2024-01-15 09:30:00
62,62,62,267,2023-12-03 12:00:00
63,63,63,246,2024-02-08 15:00:00
64,64,64,293,2023-11-20 13:20:00
65,65,65,260,2024-03-03 17:15:00
66,66,66,278,2023-12-11 10:30:00
67,67,67,250,2024-01-19 09:00:00
68,68,68,306,2024-03-06 11:00:00
69,69,69,244,2024-01-07 12:45:00
70,70,70,233,2023-11-23 18:30:00
71,71,71,291,2024-04-01 15:30:00
72,72,72,239,2024-03-12 19:15:00
73,73,73,234,2024-01-25 11:55:00
74,74,74,301,2023-12-17 14:45:00
75,75,75,261,2024-02-11 13:40:00
76,76,76,242,2024-03-18 09:15:00
77,77,77,295,2023-12-28 10:15:00
78,78,78,274,2024-02-04 12:15:00
79,79,79,256,2024-01-06 08:45:00
80,80,80,309,2024-03-09 16:50:00
81,81,81,269,2024-02-14 17:45:00
82,82,82,235,2024-03-15 11:30:00
83,83,83,252,2024-01-16 13:15:00
84,84,84,258,2024-02-26 08:15:00
85,85,85,290,2023-12-21 14:15:00
86,86,86,253,2024-01-30 07:45:00
87,87,87,286,2024-02-19 10:30:00
88,88,88,259,2024-01-12 16:45:00
89,89,89,271,2024-03-21 14:00:00
90,90,90,257,2024-03-14 17:15:00
91,91,91,265,2024-03-01 09:15:00
92,92,92,227,2024-04-04 13:00:00
93,93,93,311,2024-03-27 14:20:00
94,94,94,238,2024-04-10 02:30:00
95,95,95,263,2024-03-16 11:30:00
96,96,96,250,2024-02-09 10:10:00
97,97,97,268,2024-04-02 15:30:00
98,98,98,279,2024-03-23 16:15:00
99,99,99,223,2024-01-26 23:10:00
100,100,100,289,2024-03-19 18:00:00
101,101,101,284,2024-02-12 09:30:00
102,102,102,266,2024-03-05 14:45:00
103,103,103,308,2024-01-09 13:15:00
104,104,104,240,2024-04-06 10:50:00
105,105,105,273,2024-03-07 09:45:00
106,106,106,296,2024-04-03 12:15:00
107,107,107,243,2024-02-18 12:00:00
108,108,108,291,2024-03-11 15:15:00
109,109,109,225,2024-04-08 08:30:00
110,110,110,299,2024-03-25 13:30:00
