#,request_id,client_id,subject,description,status,priority,created_at,resolved_at
1,1,12,Internet Issue,Client reports frequent disconnection from the internet service.,Resolved,High,2023-10-15 09:30:00,2023-10-16 14:00:00
2,2,45,Billing Error,Invoice for September contains unexpected charges.,Resolved,Medium,2023-09-22 11:00:00,2023-09-23 10:15:00
3,3,27,Connection Speed Slow,Internet speed is significantly below the promised bandwidth.,Open,High,2024-03-01 15:40:00,
4,4,8,Password Reset,Client forgot password for account portal.,Resolved,Low,2024-01-09 08:20:00,2024-01-09 09:00:00
5,5,63,Service Upgrade,Requesting upgrade from basic to premium service.,Resolved,Medium,2024-04-05 16:30:00,
6,6,33,Router Malfunction,The provided router has stopped functioning.,Resolved,High,2023-12-03 10:10:00,2023-12-04 16:00:00
7,7,59,Late Installation,Technician did not arrive on the scheduled date.,Resolved,High,2023-10-27 12:00:00,2023-10-29 14:30:00
8,8,21,VPN Not Working,VPN connection drops every 10 minutes.,Open,High,2024-02-05 17:45:00,
9,9,90,Incorrect Address,Installation scheduled at the wrong address.,Resolved,Medium,2023-11-01 14:00:00,2023-11-02 10:30:00
10,10,19,Mobile App Crash,The app crashes immediately after login.,Resolved,Medium,2023-09-19 07:55:00,2023-09-19 12:20:00
11,11,55,Payment Not Reflected,Payment made online is not showing on account.,Open,Medium,2024-01-22 11:40:00,
12,12,39,Account Locked,Client cannot log in due to multiple failed attempts.,Resolved,Low,2023-08-30 16:30:00,2023-08-30 17:10:00
13,13,77,Frequent Disconnects,Internet disconnects several times a day.,Open,High,2024-04-14 09:00:00,
14,14,17,Installation Request,New service installation requested.,Open,Medium,2023-10-12 10:00:00,
15,15,5,Device Compatibility,Smart TV not connecting to Wi-Fi.,Resolved,Low,2023-12-25 18:30:00,2023-12-26 09:00:00
16,16,88,Email Spam,Receiving promotional emails without subscription.,Resolved,Low,2023-11-06 13:45:00,2023-11-07 08:15:00
17,17,36,Downtime Report,Total outage in the area for 4 hours.,Resolved,High,2024-03-19 07:20:00,2024-03-19 11:45:00
18,18,70,Login Issues,Client cannot log in to customer portal.,Open,Medium,2024-01-13 14:25:00,
19,19,9,Service Termination Request,Wants to cancel the service effective next month.,Open,Medium,2024-02-18 16:00:00,
20,20,52,Slow Loading Times,Websites load very slowly during the evening.,Open,Low,2024-03-27 19:30:00,
21,21,31,New Router Request,Client requests an upgrade to newer router model.,Resolved,Medium,2023-07-10 15:10:00,2023-07-11 12:00:00
22,22,4,Broken Cable,Client reports exposed or broken cable outside home.,Open,High,2023-10-03 11:50:00,
23,23,74,Phone Line Noise,Client reports static noise during calls.,Resolved,Low,2023-11-25 10:20:00,2023-11-25 14:45:00
24,24,22,Slow Upload Speed,Uploading files takes unusually long.,Open,Medium,2024-03-05 13:00:00,
25,25,67,Device Activation,Cannot activate device linked to account.,Resolved,Low,2023-09-01 09:30:00,2023-09-01 11:00:00
26,26,100,Wrong Bill Amount,Billed more than actual usage.,Open,High,2023-12-07 14:15:00,
27,27,6,Frequent Buffering,Videos keep buffering even with good speed.,Resolved,Medium,2023-10-11 17:50:00,2023-10-12 09:00:00
28,28,40,Account Termination Delay,Requested cancellation not processed.,Open,Medium,2024-01-08 11:30:00,
29,29,13,Router Configuration Help,Client needs help changing Wi-Fi password.,Resolved,Low,2023-10-20 08:00:00,2023-10-20 08:45:00
30,30,81,Service Not Activated,New service still not active after 3 days.,Open,High,2024-04-01 12:10:00,
31,31,15,Wi-Fi Drops Frequently,Connection drops every evening for no reason.,Open,High,2024-04-10 20:00:00,
32,32,28,Static IP Request,Customer requests a static IP address for home network.,In Progress,Medium,2024-03-03 14:30:00,
33,33,94,Incorrect Client Info,Client info displayed on account does not match.,Resolved,Low,2024-02-18 10:45:00,2024-02-18 12:00:00
34,34,11,No Signal in Region,Internet service unavailable for last 6 hours.,Resolved,High,2023-11-29 07:00:00,2023-11-29 13:30:00
35,35,76,Payment Failure,Unable to pay via online system.,Closed,Medium,2023-12-13 09:15:00,2023-12-13 11:40:00
36,36,66,Wrong Device Delivered,Client received wrong modem model.,Resolved,Medium,2024-01-15 12:00:00,2024-01-16 09:30:00
37,37,98,Suspicious Account Login,Client suspects unauthorized login.,In Progress,High,2024-03-10 16:25:00,
38,38,26,Frequent Reconnection Needed,Client has to reconnect manually every hour.,Open,High,2024-02-22 18:10:00,
