#,service_id,service_name,category,description,monthly_cost,is_active
1,1,Базовый Интернет 100Мбит/с,Internet,Проводной интернет для дома и малого бизнеса,3990.00,1
2,2,Корпоративный VPN,VPN,Безопасное соединение для корпоративных сетей,8500.00,1
3,3,Облачное хранилище 100 ГБ,Cloud,Персональное облачное хранилище,1500.00,1
4,4,IP Телефония Бизнес,Telephony,IP-телефония для колл-центров и офисов,6200.00,1
5,5,Хостинг малого сайта,Hosting,Хостинг для визиток и лендингов,2300.00,1
6,6,ЦОД Basic (1U),Data Center,Аренда 1U пространства в дата-центре,12000.00,1
7,7,Интернет 500 Мбит/с,Internet,Высокоскоростной интернет для геймеров и стримеров,7990.00,1
8,8,Private Cloud Pro,Cloud,Облачная инфраструктура под ключ,29900.00,1
9,9,Хостинг PRO,Hosting,"Хостинг с поддержкой PHP, Python, Node.js",5400.00,1
10,10,Облачный сервер (vCPU 4/8GB RAM),Cloud,Готовый виртуальный сервер,7500.00,1
11,11,VPN для персонального пользования,VPN,Шифрованный канал для анонимного доступа,2200.00,1
12,12,Домашний VoIP-пакет,Telephony,Интернет-телефония для частных лиц,1800.00,1
13,13,Интернет для бизнеса 1Гбит/с,Internet,Оптоволоконный интернет с SLA,13900.00,1
14,14,Корпоративное облако с резервированием,Cloud,Высоконадежное облако с бэкапом,20900.00,1
15,15,Дата-центр Rack аренда,Data Center,Аренда стойки 42U,45000.00,1
16,16,Виртуальный офисный хостинг,Hosting,Хостинг для CRM и корпоративных сайтов,7900.00,1
17,17,VPN для госорганов,VPN,Соответствие требованиям КСЗИ и безопасности,9800.00,1
18,18,Телефония 0800 линия,Telephony,Бесплатная горячая линия для клиентов,6700.00,1
19,19,Индивидуальный интернет 200 Мбит/с,Internet,Идеален для стриминга и конференций,5990.00,1
20,20,Бэкап в облако (до 1 ТБ),Cloud,Хранилище с резервным копированием,3900.00,1
21,21,Хостинг E-commerce,Hosting,Поддержка интернет-магазинов на CMS,6300.00,1
22,22,Дата-центр Premium,Data Center,Физическая безопасность и резервное питание,59000.00,1
23,23,SIP-телефония премиум,Telephony,Номер с DID и расширенными возможностями,7600.00,1
24,24,VPN для удалённых сотрудников,VPN,Удобен для работы из дома,2700.00,1
25,25,Облачный Kubernetes кластер,Cloud,Оркестрация контейнеров в облаке,18900.00,1
26,26,Гигабитный бизнес-интернет + IP,Internet,"Выделенный IP-адрес, SLA 99.9%",16400.00,1
27,27,Резерв в ЦОД (1U),Data Center,Минимальный резервный канал,9900.00,1
28,28,Хостинг с SSD-дисками,Hosting,Высокая скорость и надежность,4900.00,1
29,29,Телефония SIP Softphone,Telephony,Голосовая связь через мобильное приложение,3400.00,1
30,30,Облачный архив на 5 лет,Cloud,Хранение документов по требованиям регуляторов,5200.00,1
31,31,Городской Wi-Fi Premium,Internet,Доступ к публичной сети Wi-Fi в городах Казахстана,2500.00,1
32,32,KZCloud для стартапов,Cloud,Облачные ресурсы для малого бизнеса и стартапов,4800.00,1
33,33,Доступ к DNS-хостингу,Hosting,Управление доменными зонами и записями,1500.00,1
34,34,Цифровая АТС 10 линий,Telephony,Для малых офисов и колл-центров,5400.00,1
35,35,Бизнес VPN между филиалами,VPN,Объединение офисов в единую сеть,8700.00,1
36,36,ЦОД KZ-Energy Standby,Data Center,Резервное питание и безопасность серверов,11900.00,1
37,37,Оптика до дома (FTTH),Internet,Высокоскоростной доступ для новостроек,6300.00,1
38,38,Private S3 хранилище,Cloud,Хранилище с интерфейсом S3 API,5600.00,1
39,39,Персональный веб-хостинг,Hosting,"Для блогов, портфолио и персональных сайтов",2200.00,1
40,40,SIP-платформа для стартапов,Telephony,Готовая VoIP-платформа для быстрого старта,4900.00,1
41,41,VPN для Android и iOS,VPN,Мобильный безопасный интернет-доступ,1900.00,1
42,42,Дата-центр Алматы-1,Data Center,Услуги размещения серверов в Алматы,13500.00,1
43,43,Интернет на стройплощадку,Internet,Быстроразворачиваемая связь на временных объектах,7100.00,1
44,44,IaaS Enterprise,Cloud,Аренда вычислительных мощностей для бизнеса,25800.00,1
45,45,Хостинг для онлайн-курсов,Hosting,"Подходит для Moodle, LMS, Zoom интеграций",5900.00,1
46,46,SIP Транк для IP-АТС,Telephony,Масштабируемая голосовая связь,6700.00,1
47,47,VPN Pro+ с георезервом,VPN,Доп. защита и отказоустойчивость,9900.00,1
48,48,KZ Cloud AI Server,Cloud,Сервер с GPU для ML/AI задач,35000.00,1
49,49,Хостинг на Kubernetes,Hosting,Масштабируемое размещение микросервисов,7800.00,1
50,50,Дата-центр Uptime Tier III,Data Center,Премиальное размещение с SLA 99.99%,71000.00,1
51,51,Тариф IP TV + Net,Internet,Интернет и цифровое ТВ в одном пакете,4700.00,1
52,52,Облачный файловый обмен,Cloud,Безопасный обмен файлами до 10 ГБ,3800.00,1
